duration,language,version
0.189008659,ruby,2.4.0
0.203632691,ruby,2.4.0
0.25740434,ruby,2.4.0
0.190814271,ruby,2.4.0
0.233680711,ruby,2.4.0
0.445,jruby,2.3.0
0.381,jruby,2.3.0
0.48,jruby,2.3.0
0.431,jruby,2.3.0
0.441,jruby,2.3.0
1.992822,mruby,1.2.0
2.127636,mruby,1.2.0
2.050427,mruby,1.2.0
2.242433,mruby,1.2.0
2.084727,mruby,1.2.0
0.0146731,Crystal,0.18.7
0.0148958,Crystal,0.18.7
0.015838,Crystal,0.18.7
0.0149942,Crystal,0.18.7
0.0158229,Crystal,0.18.7
2.053285,mruby,1.2.0
2.224884,mruby,1.2.0
2.120744,mruby,1.2.0
2.062583,mruby,1.2.0
2.127891,mruby,1.2.0
