duration,language,version
0.221209207,ruby,2.4.0
0.173891638,ruby,2.4.0
0.172264974,ruby,2.4.0
0.174273005,ruby,2.4.0
0.17094797,ruby,2.4.0
1.874,mruby,1.2.0
2.037682,mruby,1.2.0
2.263762,mruby,1.2.0
3.831802,mruby,1.2.0
2.703874,mruby,1.2.0
0.0134079,Crystal,0.18.7
0.0130372,Crystal,0.18.7
0.0132715,Crystal,0.18.7
0.0134565,Crystal,0.18.7
0.0129848,Crystal,0.18.7
0.0121443,Crystal,0.19.0
0.0117861,Crystal,0.19.0
0.0120837,Crystal,0.19.0
0.0121635,Crystal,0.19.0
0.0120779,Crystal,0.19.0
0.0128692,Crystal,0.19.4
0.0124895,Crystal,0.19.4
0.0129838,Crystal,0.19.4
0.0130781,Crystal,0.19.4
0.0127556,Crystal,0.19.4
0.0180956,Crystal,0.20.0
0.0173511,Crystal,0.20.0
0.0173093,Crystal,0.20.0
0.0182081,Crystal,0.20.0
0.0174986,Crystal,0.20.0
0.0184295,Crystal,0.20.1
0.0181689,Crystal,0.20.1
0.0182967,Crystal,0.20.1
0.0186082,Crystal,0.20.1
0.0184447,Crystal,0.20.1
